,Classifier,Accuracy,Precision,Recall,F1 Score,Book Percentage (%),Not Book Percentage (%)
0,Decision Tree,0.7787,0.28171530673019657,0.3195945945945946,0.29946185501741057,16.79,83.21
1,Random Forest,0.8543,0.5389830508474577,0.10743243243243243,0.1791549295774648,2.9499999999999997,97.05
2,SVM,0.852,1.0,0.0,0.0,0.0,100.0
3,K-Nearest Neighbors,0.8312,0.3429003021148036,0.15337837837837837,0.2119514472455649,6.619999999999999,93.38
4,Naive Bayes,0.8245,0.29809104258443464,0.13716216216216215,0.1878759833410458,6.81,93.19
5,Gradient Boosting,0.8541,0.6438356164383562,0.03175675675675676,0.06052801030264005,0.73,99.27
6,XGBoost,0.851,0.4859550561797753,0.11689189189189189,0.18845315904139434,3.56,96.44
